anio,camiones_km,vacios_km,arena_km,pct_vacio,n_medidos,n_escenario,n_plano,medido
2012,9.69991008832312,4.14667643396132,0.0011250503465836726,42.74963784409861,91,0,0,True
2013,8.376566205846983,3.754304067913508,0.0038517601352497303,44.819129648768744,13,39,60,False
2014,12.412703469398089,5.442390552841768,0.00972281156910404,43.84532802430411,107,0,0,True
2015,8.919863903213741,4.06320514828065,0.01164142725873279,45.552322236852916,13,39,60,False
2016,9.612414030780105,4.297271117819608,0.017902949606875513,44.70543095687753,114,0,0,True
2017,9.137676594697009,4.172718888880475,0.0290775584306015,45.66498765454322,14,38,60,False
2018,8.584172884336018,3.8220982472972174,0.04573090296857991,44.52494490496104,112,0,0,True
2019,9.126586781366017,4.088862080446473,0.06306213138424632,44.80165672444825,13,38,61,False
2020,8.6114027823253,3.949398616647733,0.030105783124053372,45.86243050613984,13,38,61,False
2021,9.232463952195145,4.1115151377138375,0.09596192560078916,44.53323792004916,12,39,61,False
2022,9.563323802355999,4.185826387705558,0.12657858100585115,43.769577128344714,12,39,61,False
2023,8.789618522774854,3.738815371161093,0.13354201691536463,42.53671944320926,13,38,61,False
2024,9.05468968322314,3.7929719996303186,0.15439694482454297,41.889585754198464,13,38,61,False
2025,9.356109453620228,3.8205328885345717,0.2134114588305049,40.834632252578714,11,39,62,False
2026,8.790494929104554,3.5995482178535823,0.18687467891641704,40.94818604508598,3,47,62,False
